title,artist,year,era,url
Make It with You,Bread,1970,hot100,https://en.wikipedia.org/wiki/Make_It_with_You
War,Edwin Starr,1970,hot100,https://en.wikipedia.org/wiki/War_(The_Temptations_song)#Edwin_Starr_version
Ain't No Mountain High Enough,Diana Ross,1970,hot100,https://en.wikipedia.org/wiki/Ain%27t_No_Mountain_High_Enough#Diana_Ross_solo_version
Cracklin' Rosie,Neil Diamond,1970,hot100,https://en.wikipedia.org/wiki/Cracklin%27_Rosie
I'll Be There,The Jackson 5,1970,hot100,https://en.wikipedia.org/wiki/I%27ll_Be_There_(Jackson_5_song)
I Think I Love You,The Partridge Family,1970,hot100,https://en.wikipedia.org/wiki/I_Think_I_Love_You
The Tears of a Clown,Smokey Robinson & the Miracles,1970,hot100,https://en.wikipedia.org/wiki/The_Tears_of_a_Clown
My Sweet Lord,George Harrison,1970,hot100,https://en.wikipedia.org/wiki/My_Sweet_Lord
My Sweet Lord,George Harrison,1971,hot100,https://en.wikipedia.org/wiki/My_Sweet_Lord
Knock Three Times,Dawn,1971,hot100,https://en.wikipedia.org/wiki/Knock_Three_Times
One Bad Apple,The Osmonds,1971,hot100,https://en.wikipedia.org/wiki/One_Bad_Apple
Me and Bobby McGee,Janis Joplin,1971,hot100,https://en.wikipedia.org/wiki/Me_and_Bobby_McGee
Just My Imagination (Running Away with Me),The Temptations,1971,hot100,https://en.wikipedia.org/wiki/Just_My_Imagination_(Running_Away_with_Me)
Joy to the World,Three Dog Night,1971,hot100,https://en.wikipedia.org/wiki/Joy_to_the_World_(Three_Dog_Night_song)
Brown Sugar,The Rolling Stones,1971,hot100,https://en.wikipedia.org/wiki/Brown_Sugar_(Rolling_Stones_song)
Want Ads,Honey Cone,1971,hot100,https://en.wikipedia.org/wiki/Want_Ads
It's Too Late,Carole King,1971,hot100,https://en.wikipedia.org/wiki/It%27s_Too_Late_(Carole_King_song)
Indian Reservation (The Lament of the Cherokee Reservation Indian),The Raiders,1971,hot100,https://en.wikipedia.org/wiki/Indian_Reservation_(The_Lament_of_the_Cherokee_Reservation_Indian)
You've Got a Friend,James Taylor,1971,hot100,https://en.wikipedia.org/wiki/You%27ve_Got_a_Friend
How Can You Mend a Broken Heart,Bee Gees,1971,hot100,https://en.wikipedia.org/wiki/How_Can_You_Mend_a_Broken_Heart
Uncle Albert/Admiral Halsey,Paul,1971,hot100,https://en.wikipedia.org/wiki/Uncle_Albert/Admiral_Halsey
Go Away Little Girl,Donny Osmond,1971,hot100,https://en.wikipedia.org/wiki/Go_Away_Little_Girl
